Date,Team,Acquired,Relinquished,Notes,Injury,DL_length,Injury_Type
2007-04-21, Diamondbacks, , • Juan Cruz, placed on 15 day DL with strained tricep in right arm,1,15, strained tricep in right arm
2007-04-21, Rockies, , • Ramon Ramirez (Emilio) / Ramon Ramirez (Santo), placed on 15 day DL with sprained right elbow,1,15, sprained right elbow
2007-04-23, Athletics, , • Milton Bradley, placed on 15 day DL with strained left hamstring,1,15, strained left hamstring
2007-04-23, Athletics, , • Rich Harden, placed on 15 day DL with strained right shoulder,1,15, strained right shoulder
2007-04-23, Cubs, , • Wade Miller, placed on 15 day DL with back spasms,1,15, back spasms
2007-04-23, Indians, , • Andy Marte, placed on 15 day DL with strained left hamstring,1,15, strained left hamstring
2007-04-23, Mariners, , • Felix Hernandez, placed on 15 day DL with strained flexor pronator muscle in right forearm,1,15, strained flexor pronator muscle in right forearm
2007-04-23, Rangers, , • Eric Gagne, placed on 15 day DL with strained right hip,1,15, strained right hip
2007-04-24, Devil Rays, , • Akinori Iwamura / Aki Iwamura, placed on 15 day DL with strained right oblique,1,15, strained right oblique
2007-04-24, Orioles, , • Scott Williamson, placed on 15 day DL with tightness in right triceps tendon,1,15, tightness in right triceps tendon
2007-04-24, Rockies, , • LaTroy Hawkins, placed on 15 day DL with right elbow inflammation,1,15, right elbow inflammation
2007-04-25, Astros, , • Rick White, placed on 15 day DL with strained oblique,1,15, strained oblique
2007-04-25, Blue Jays, , • Gregg Zaun, placed on 15 day DL with fractured right thumb,1,15, fractured right thumb
2007-04-25, Brewers, , • Greg Aquino, placed on 15 day DL with right forearm tightness,1,15, right forearm tightness
2007-04-26, Pirates, , • Humberto Cota, placed on 15 day DL with strained left shoulder,1,15, strained left shoulder
2007-04-29, Nationals, , • Jerome Williams, placed on 15 day DL with sprained left ankle,1,15, sprained left ankle
2007-04-29, White Sox, , • Jim Thome, placed on 15 day DL with rib injury,1,15, rib injury
2007-04-29, Yankees, , • Jeff Karstens, placed on 15 day DL with fractured right fibula,1,15, fractured right fibula
2007-04-30, Blue Jays, , • Gustavo Chacin, placed on 15 day DL with strained left shoulder (elbow per CBC),1,15, strained left shoulder (elbow per CBC)
2007-04-30, Braves, , • Bob Wickman, placed on 15 day DL with strained upper back,1,15, strained upper back
2007-04-30, Mets, , • Jose Valentin (A.), placed on 15 day DL with partially torn ACL in right knee,1,15, partially torn ACL in right knee
2007-04-30, Mets, , • Orlando Hernandez, placed on 15 day DL with bursitis in right shoulder,1,15, bursitis in right shoulder
2007-04-30, Orioles, , • Jaret Wright, placed on 15 day DL with sore right shoulder,1,15, sore right shoulder
2007-05-01, Athletics, , • Bobby Kielty, placed on 15 day DL with strained left calf,1,15, strained left calf
2007-05-01, Rangers, , • Frank Catalanotto, placed on 15 day DL with strained right bicep,1,15, strained right bicep
2007-05-01, Royals, , • Ryan Shealy, placed on 15 day DL with left hamstring injury,1,15, left hamstring injury
2007-05-02, Angels, , • Maicer Izturis, placed on 15 day DL with strained right hamstring,1,15, strained right hamstring
2007-05-02, Braves, , • Brayan Pena, placed on 15 day DL with concussion related symptoms,1,15, concussion related symptoms
2007-05-02, Braves, , • Mark Redman, placed on 15 day DL with left toe ailment,1,15, left toe ailment
2007-05-03, Giants, , • Russ Ortiz, placed on 15 day DL with right elbow neuritis,1,15, right elbow neuritis
2007-05-03, Pirates, , • John Wasdin, placed on 15 day DL with sprained right thumb,1,15, sprained right thumb
2007-05-03, Red Sox, , • Mike Timlin, placed on 15 day DL with right shoulder tendinitis,1,15, right shoulder tendinitis
2007-05-03, Royals, , • Reggie Sanders, placed on 15 day DL with torn left hamstring,1,15, torn left hamstring
2007-05-03, Yankees, , • Phil Hughes, placed on 15 day DL with hamstring injury,1,15, hamstring injury
